name,findName,country,longitude,latitude
Al Hayy,AL HAYY,IQ,46.043301,32.173489
Al Harithah,AL HARITHAH,IQ,47.720829,30.718611
Nahiyat Ghammas,NAHIYAT GHAMMAS,IQ,44.619598,31.743111
Nahiyat al Fuhud,NAHIYAT AL FUHUD,IQ,46.722778,30.969721
Al Faw,AL FAW,IQ,48.474121,29.977631
Al Fallujah,AL FALLUJAH,IQ,43.77951,33.353802
Al Basrah,AL BASRAH,IQ,47.788849,30.53488
Al Aziziyah,AL AZIZIYAH,IQ,45.06163,32.90583
Al Amarah,AL AMARAH,IQ,47.139599,31.840639
Afak,AFAK,IQ,45.250549,32.068981
Ad Dujayl,AD DUJAYL,IQ,44.23444,33.846668
Ad Diwaniyah,AD DIWANIYAH,IQ,44.93063,31.990511
Abu Ghurayb,ABU GHURAYB,IQ,44.185001,33.308331
Yanbu al Bahr,YANBU AL BAHR,SA,38.06374,24.089121
Umm Lajj,UMM LAJJ,SA,37.268501,25.021259
Turayf,TURAYF,SA,38.663738,31.67252
Turabah,TURABAH,SA,41.633099,21.21406
Tarut,TARUT,SA,50.036942,26.57332
Tabuk,TABUK,SA,36.583328,28.383329
Tubarjal,TUBARJAL,SA,38.21603,30.49987
Sultanah,SULTANAH,SA,39.58572,24.49258
Sayhat,SAYHAT,SA,50.040459,26.48522
Samitah,SAMITAH,SA,42.944351,16.59601
Sakaka,SAKAKA,SA,40.206409,29.96974
Safwa,SAFWA,SA,49.952229,26.64986
Sabya,SABYA,SA,42.62537,17.1495
Rahimah,RAHIMAH,SA,50.061939,26.707911
Rabigh,RABIGH,SA,39.034931,22.798559
Qalat Bishah,QALAT BISHAH,SA,42.605202,20.00054
Najran,NAJRAN,SA,44.127659,17.492399
Mecca,MECCA,SA,39.826111,21.42667
Khamis Mushayt,KHAMIS MUSHAYT,SA,42.729172,18.306391
Jizan,JIZAN,SA,42.551109,16.88917
Jeddah,JEDDAH,SA,39.21917,21.516939
Hayil,HAYIL,SA,41.690731,27.521879
Zbe,ZBE,SA,35.69014,27.351339
Buraydah,BURAYDAH,SA,43.974972,26.325991
Abqaiq,ABQAIQ,SA,49.677608,25.937099
Badr Hunayn,BADR HUNAYN,SA,38.79047,23.782921
Az Zulfi,AZ ZULFI,SA,44.815418,26.29945
Dhahran,DHAHRAN,SA,50.135281,26.30324
At Taraf,AT TARAF,SA,49.72504,25.362761
Taif,TAIF,SA,40.415829,21.270281
As Sulayyil,AS SULAYYIL,SA,45.577919,20.46067
Riyadh,RIYADH,SA,46.721851,24.687731
Ar Rass,AR RASS,SA,43.497299,25.86944
Arar,ARAR,SA,41.038078,30.975309
An Nimas,AN NIMAS,SA,42.120098,19.14547
Al Qurayyat,AL QURAYYAT,SA,37.342819,31.33176
Al Wajh,AL WAJH,SA,36.45248,26.24551
Al Qaysumah,AL QAYSUMAH,SA,46.127289,28.311171
Al Qatif,AL QATIF,SA,50.024521,26.5208
Al Munayzilah,AL MUNAYZILAH,SA,49.666672,25.383329
Al Mubarraz,AL MUBARRAZ,SA,49.58083,25.41
Medina,MEDINA,SA,39.61417,24.468611
Al Khubar,AL KHUBAR,SA,50.208328,26.27944
Al Khafji,AL KHAFJI,SA,48.491322,28.439051
Al Jumum,AL JUMUM,SA,39.698059,21.61694
Al Jubayl,AL JUBAYL,SA,49.65826,27.011221
Al Hufuf,AL HUFUF,SA,49.565319,25.364571
Al Bukayriyah,AL BUKAYRIYAH,SA,43.659328,26.14422
Al Battaliyah,AL BATTALIYAH,SA,49.633331,25.433331
Al Bahah,AL BAHAH,SA,41.46767,20.01288
Afif,AFIF,SA,42.91724,23.9065
Ad Dilam,AD DILAM,SA,47.162659,23.991461
Ad Dawadimi,AD DAWADIMI,SA,44.392368,24.507721
Ad Dammam,AD DAMMAM,SA,50.10326,26.43442
Abu Arish,ABU ARISH,SA,42.832512,16.96887
Abha,ABHA,SA,42.50528,18.216391
Shah Pasand,SHAH PASAND,IR,55.173969,37.087009
Zarand,ZARAND,IR,56.563992,30.81271
Zanjan,ZANJAN,IR,48.478699,36.673599
Yazd,YAZD,IR,54.3675,31.897221
Varamin,VARAMIN,IR,51.645699,35.3242
Torbat-e Heydariyeh,TORBAT-E HEYDARIYEH,IR,59.21949,35.27401
Tonekabon,TONEKABON,IR,50.87376,36.816261
Tehran,TEHRAN,IR,51.421509,35.694389
Hashtpar,HASHTPAR,IR,48.903702,37.8008
Takestan,TAKESTAN,IR,49.6959,36.069599
Takab,TAKAB,IR,47.1133,36.400902
Taft,TAFT,IR,54.20882,31.747101
Tabriz,TABRIZ,IR,46.291901,38.080002
Tabas,TABAS,IR,56.92437,33.59586
Sonqor,SONQOR,IR,47.600399,34.783699
Sirjan,SIRJAN,IR,55.6814,29.452
Shushtar,SHUSHTAR,IR,48.856701,32.045502
Shush,SHUSH,IR,48.243599,32.194199
Shiraz,SHIRAZ,IR,52.538799,29.6036
Shahr-e Kord,SHAHR-E KORD,IR,50.864441,32.325562
Shahr-e Babak,SHAHR-E BABAK,IR,55.118599,30.116501
Shadegan,SHADEGAN,IR,48.664719,30.649719
Semnan,SEMNAN,IR,53.397141,35.57291
Semirom,SEMIROM,IR,51.566669,31.41667
Saveh,SAVEH,IR,50.356602,35.021301
Shari-i-Tajan,SHARI-I-TAJAN,IR,53.060089,36.56332
Saqqez,SAQQEZ,IR,46.273499,36.24992
Sanandaj,SANANDAJ,IR,46.992298,35.3144
Salmas,SALMAS,IR,44.765301,38.1973
Shahin Dezh,SHAHIN DEZH,IR,46.566898,36.679298
Sabzevar,SABZEVAR,IR,57.681911,36.212601
Rudsar,RUDSAR,IR,50.287998,37.137611
Robat Karim,ROBAT KARIM,IR,51.082901,35.4846
Ravar,RAVAR,IR,56.80545,31.265619
Rasht,RASHT,IR,49.583191,37.280769
Ramshir,RAMSHIR,IR,49.409199,30.8946
Ramhormoz,RAMHORMOZ,IR,49.603512,31.27997
Rafsanjan,RAFSANJAN,IR,55.9939,30.4067
Quchan,QUCHAN,IR,58.509548,37.105999
Qorveh,QORVEH,IR,47.804501,35.166401
Qom,QOM,IR,50.8764,34.640099
Qeshm,QESHM,IR,56.2719,26.958099
Qazvin,QAZVIN,IR,50.004902,36.279701
Qarah Zia od Din,QARAH ZIA OD DIN,IR,45.025501,38.891499
Farrokh Shahr,FARROKH SHAHR,IR,50.98008,32.27174
Qayen,QAYEN,IR,59.184391,33.72654
Sarpol-e Zahab,SARPOL-E ZAHAB,IR,45.86264,34.46109
Pishva,PISHVA,IR,51.7267,35.307999
Piranshahr,PIRANSHAHR,IR,45.1413,36.701
Paveh,PAVEH,IR,46.356499,35.0434
Parsabad,PARSABAD,IR,47.9174,39.648201
Oshnaviyeh,OSHNAVIYEH,IR,45.098301,37.0397
Orumiyeh,ORUMIYEH,IR,45.07605,37.552738
Omidiyeh,OMIDIYEH,IR,49.705002,30.75972
Nurabad,NURABAD,IR,51.52174,30.11405
Now Shahr,NOW SHAHR,IR,51.495998,36.648998
Neyshabur,NEYSHABUR,IR,58.795761,36.213291
Neyriz,NEYRIZ,IR,54.327801,29.198799
Neka,NEKA,IR,53.299049,36.650791
Nazarabad,NAZARABAD,IR,50.607498,35.952099
Naqadeh,NAQADEH,IR,45.388,36.955299
Nahavand,NAHAVAND,IR,48.376999,34.188499
Minab,MINAB,IR,57.080101,27.1467
Miandowab,MIANDOWAB,IR,46.102699,36.969398
Meybod,MEYBOD,IR,54.016579,32.250141
Mehriz,MEHRIZ,IR,54.431782,31.591681
Masjed Soleyman,MASJED SOLEYMAN,IR,49.303902,31.936399
Bardsir,BARDSIR,IR,56.574341,29.922661
Mashhad,MASHHAD,IR,59.606201,36.297001
Marand,MARAND,IR,45.774899,38.432899
Malayer,MALAYER,IR,48.823502,34.296902
Malard,MALARD,IR,50.9767,35.665901
Mahabad,MAHABAD,IR,45.722198,36.7631
Langerud,LANGERUD,IR,50.153511,37.19701
Kuhdasht,KUHDASHT,IR,47.606098,33.535
Kish,KISH,IR,54.01944,26.557779
Khvoy,KHVOY,IR,44.952099,38.550301
Khvansar,KHVANSAR,IR,50.314968,33.22052
Khorramshahr,KHORRAMSHAHR,IR,48.166401,30.439699
Khorramabad,KHORRAMABAD,IR,48.355831,33.487782
Khomeyn,KHOMEYN,IR,50.078899,33.642262
Herowabad,HEROWABAD,IR,48.525799,37.6189
Kermanshah,KERMANSHAH,IR,47.064999,34.314171
Kerman,KERMAN,IR,57.078789,30.283211
Kazerun,KAZERUN,IR,51.654148,29.61949
Kashmar,KASHMAR,IR,58.46558,35.238312
Kashan,KASHAN,IR,51.43644,33.983082
Karaj,KARAJ,IR,51.0103,35.835499
Kangavar,KANGAVAR,IR,47.965302,34.504299
Kamyaran,KAMYARAN,IR,46.935501,34.795601
Kalaleh,KALALEH,IR,55.491638,37.380711
Juybar,JUYBAR,IR,52.912441,36.641151
Javanrud,JAVANRUD,IR,46.51722,34.796108
Ilam,ILAM,IR,46.422699,33.637402
Harsin,HARSIN,IR,47.586102,34.272099
Hamadan,HAMADAN,IR,48.514561,34.799221
Gorgan,GORGAN,IR,54.43475,36.838661
Gonbad-e Qabus,GONBAD-E QABUS,IR,55.16721,37.250038
Gonabad,GONABAD,IR,58.683651,34.352859
Golpayegan,GOLPAYEGAN,IR,50.288361,33.453701
Gerash,GERASH,IR,54.1371,27.665199
Bandar-e Ganaveh,BANDAR-E GANAVEH,IR,50.516998,29.5791
Firuzabad,FIRUZABAD,IR,52.570702,28.8438
Fereydun Kenar,FEREYDUN KENAR,IR,52.522549,36.68642
Fasa,FASA,IR,53.648201,28.938299
Farsan,FARSAN,IR,50.560959,32.256939
Esfarayen,ESFARAYEN,IR,57.51009,37.07645
Shahrud,SHAHRUD,IR,54.97628,36.41819
Do Gonbadan,DO GONBADAN,IR,50.7981,30.358601
Delijan,DELIJAN,IR,50.6838,33.990501
Dehloran,DEHLORAN,IR,47.267899,32.694099
Dehdasht,DEHDASHT,IR,50.564579,30.794901
Susangerd,SUSANGERD,IR,48.183102,31.560801
